,0
bot_golddiffat15_team1,float64
jng_golddiffat15_team1,float64
mid_golddiffat15_team1,float64
sup_golddiffat15_team1,float64
top_golddiffat15_team1,float64
bot_goldspent_team1,float64
jng_goldspent_team1,float64
mid_goldspent_team1,float64
sup_goldspent_team1,float64
top_goldspent_team1,float64
bot_inhibitors_team1,float64
jng_inhibitors_team1,float64
mid_inhibitors_team1,float64
sup_inhibitors_team1,float64
top_inhibitors_team1,float64
bot_kills_team1,float64
jng_kills_team1,float64
mid_kills_team1,float64
sup_kills_team1,float64
top_kills_team1,float64
bot_killsat10_team1,float64
jng_killsat10_team1,float64
mid_killsat10_team1,float64
sup_killsat10_team1,float64
top_killsat10_team1,float64
bot_killsat15_team1,float64
jng_killsat15_team1,float64
mid_killsat15_team1,float64
sup_killsat15_team1,float64
top_killsat15_team1,float64
bot_minionkills_team1,float64
jng_minionkills_team1,float64
mid_minionkills_team1,float64
sup_minionkills_team1,float64
top_minionkills_team1,float64
bot_monsterkills_team1,float64
jng_monsterkills_team1,float64
mid_monsterkills_team1,float64
sup_monsterkills_team1,float64
top_monsterkills_team1,float64
bot_opp_assistsat10_team1,float64
jng_opp_assistsat10_team1,float64
mid_opp_assistsat10_team1,float64
sup_opp_assistsat10_team1,float64
top_opp_assistsat10_team1,float64
bot_opp_assistsat15_team1,float64
jng_opp_assistsat15_team1,float64
mid_opp_assistsat15_team1,float64
sup_opp_assistsat15_team1,float64
top_opp_assistsat15_team1,float64
bot_opp_barons_team1,float64
jng_opp_barons_team1,float64
mid_opp_barons_team1,float64
sup_opp_barons_team1,float64
top_opp_barons_team1,float64
bot_opp_csat10_team1,float64
jng_opp_csat10_team1,float64
mid_opp_csat10_team1,float64
sup_opp_csat10_team1,float64
top_opp_csat10_team1,float64
bot_opp_csat15_team1,float64
jng_opp_csat15_team1,float64
mid_opp_csat15_team1,float64
sup_opp_csat15_team1,float64
top_opp_csat15_team1,float64
bot_opp_deathsat10_team1,float64
jng_opp_deathsat10_team1,float64
mid_opp_deathsat10_team1,float64
sup_opp_deathsat10_team1,float64
top_opp_deathsat10_team1,float64
bot_opp_deathsat15_team1,float64
jng_opp_deathsat15_team1,float64
mid_opp_deathsat15_team1,float64
sup_opp_deathsat15_team1,float64
top_opp_deathsat15_team1,float64
bot_opp_goldat10_team1,float64
jng_opp_goldat10_team1,float64
mid_opp_goldat10_team1,float64
sup_opp_goldat10_team1,float64
top_opp_goldat10_team1,float64
bot_opp_goldat15_team1,float64
jng_opp_goldat15_team1,float64
mid_opp_goldat15_team1,float64
sup_opp_goldat15_team1,float64
top_opp_goldat15_team1,float64
bot_opp_inhibitors_team1,float64
jng_opp_inhibitors_team1,float64
mid_opp_inhibitors_team1,float64
sup_opp_inhibitors_team1,float64
top_opp_inhibitors_team1,float64
bot_opp_killsat10_team1,float64
jng_opp_killsat10_team1,float64
mid_opp_killsat10_team1,float64
sup_opp_killsat10_team1,float64
top_opp_killsat10_team1,float64
bot_opp_killsat15_team1,float64
jng_opp_killsat15_team1,float64
mid_opp_killsat15_team1,float64
sup_opp_killsat15_team1,float64
top_opp_killsat15_team1,float64
bot_opp_xpat10_team1,float64
jng_opp_xpat10_team1,float64
mid_opp_xpat10_team1,float64
sup_opp_xpat10_team1,float64
top_opp_xpat10_team1,float64
bot_opp_xpat15_team1,float64
jng_opp_xpat15_team1,float64
mid_opp_xpat15_team1,float64
sup_opp_xpat15_team1,float64
top_opp_xpat15_team1,float64
bot_patch_team1,float64
jng_patch_team1,float64
mid_patch_team1,float64
sup_patch_team1,float64
top_patch_team1,float64
bot_playername_team1,object
jng_playername_team1,object
mid_playername_team1,object
sup_playername_team1,object
top_playername_team1,object
bot_playoffs_team1,float64
jng_playoffs_team1,float64
mid_playoffs_team1,float64
sup_playoffs_team1,float64
top_playoffs_team1,float64
bot_total cs_team1,float64
jng_total cs_team1,float64
mid_total cs_team1,float64
sup_total cs_team1,float64
top_total cs_team1,float64
bot_totalgold_team1,float64
jng_totalgold_team1,float64
mid_totalgold_team1,float64
sup_totalgold_team1,float64
top_totalgold_team1,float64
bot_triplekills_team1,float64
jng_triplekills_team1,float64
mid_triplekills_team1,float64
sup_triplekills_team1,float64
top_triplekills_team1,float64
bot_visionscore_team1,float64
jng_visionscore_team1,float64
mid_visionscore_team1,float64
sup_visionscore_team1,float64
top_visionscore_team1,float64
bot_vspm_team1,float64
jng_vspm_team1,float64
mid_vspm_team1,float64
sup_vspm_team1,float64
top_vspm_team1,float64
bot_wardskilled_team1,float64
jng_wardskilled_team1,float64
mid_wardskilled_team1,float64
sup_wardskilled_team1,float64
top_wardskilled_team1,float64
bot_wardsplaced_team1,float64
jng_wardsplaced_team1,float64
mid_wardsplaced_team1,float64
sup_wardsplaced_team1,float64
top_wardsplaced_team1,float64
bot_wcpm_team1,float64
jng_wcpm_team1,float64
mid_wcpm_team1,float64
sup_wcpm_team1,float64
top_wcpm_team1,float64
bot_wpm_team1,float64
jng_wpm_team1,float64
mid_wpm_team1,float64
sup_wpm_team1,float64
top_wpm_team1,float64
bot_xpat10_team1,float64
jng_xpat10_team1,float64
mid_xpat10_team1,float64
sup_xpat10_team1,float64
top_xpat10_team1,float64
bot_xpat15_team1,float64
jng_xpat15_team1,float64
mid_xpat15_team1,float64
sup_xpat15_team1,float64
top_xpat15_team1,float64
bot_xpdiffat10_team1,float64
jng_xpdiffat10_team1,float64
mid_xpdiffat10_team1,float64
sup_xpdiffat10_team1,float64
top_xpdiffat10_team1,float64
bot_xpdiffat15_team1,float64
jng_xpdiffat15_team1,float64
mid_xpdiffat15_team1,float64
sup_xpdiffat15_team1,float64
top_xpdiffat15_team1,float64
playoffs_team2,float64
game_team2,int64
gamelength_team2,float64
assists_team2,float64
teamkills_team2,float64
teamdeaths_team2,float64
doublekills_team2,float64
triplekills_team2,float64
firstblood_team2,float64
team kpm_team2,float64
ckpm_team2,float64
firstdragon_team2,float64
elementaldrakes_team2,float64
opp_elementaldrakes_team2,float64
elders_team2,float64
opp_elders_team2,float64
firstherald_team2,float64
heralds_team2,float64
opp_heralds_team2,float64
firstbaron_team2,float64
barons_team2,float64
opp_barons_team2,float64
firsttower_team2,float64
towers_team2,float64
opp_towers_team2,float64
firstmidtower_team2,float64
firsttothreetowers_team2,float64
turretplates_team2,float64
opp_turretplates_team2,float64
inhibitors_team2,float64
opp_inhibitors_team2,float64
damagetochampions_team2,float64
dpm_team2,float64
damagetakenperminute_team2,float64
damagemitigatedperminute_team2,float64
wardsplaced_team2,float64
wpm_team2,float64
wardskilled_team2,float64
wcpm_team2,float64
controlwardsbought_team2,float64
visionscore_team2,float64
vspm_team2,float64
totalgold_team2,float64
earnedgold_team2,float64
earned gpm_team2,float64
goldspent_team2,float64
gspd_team2,float64
gpr_team2,float64
minionkills_team2,float64
monsterkills_team2,float64
cspm_team2,float64
goldat10_team2,float64
xpat10_team2,float64
csat10_team2,float64
opp_goldat10_team2,float64
opp_xpat10_team2,float64
opp_csat10_team2,float64
golddiffat10_team2,float64
xpdiffat10_team2,float64
csdiffat10_team2,float64
killsat10_team2,float64
assistsat10_team2,float64
deathsat10_team2,float64
opp_killsat10_team2,float64
opp_assistsat10_team2,float64
opp_deathsat10_team2,float64
goldat15_team2,float64
xpat15_team2,float64
csat15_team2,float64
opp_goldat15_team2,float64
opp_xpat15_team2,float64
opp_csat15_team2,float64
golddiffat15_team2,float64
xpdiffat15_team2,float64
csdiffat15_team2,float64
killsat15_team2,float64
assistsat15_team2,float64
deathsat15_team2,float64
opp_killsat15_team2,float64
opp_assistsat15_team2,float64
opp_deathsat15_team2,float64
result_cumsum_team2,float64
game_format_team2,object
bot_assists_team2,float64
jng_assists_team2,float64
mid_assists_team2,float64
sup_assists_team2,float64
top_assists_team2,float64
bot_assistsat10_team2,float64
jng_assistsat10_team2,float64
mid_assistsat10_team2,float64
sup_assistsat10_team2,float64
top_assistsat10_team2,float64
bot_assistsat15_team2,float64
jng_assistsat15_team2,float64
mid_assistsat15_team2,float64
sup_assistsat15_team2,float64
top_assistsat15_team2,float64
bot_barons_team2,float64
jng_barons_team2,float64
mid_barons_team2,float64
sup_barons_team2,float64
top_barons_team2,float64
bot_controlwardsbought_team2,float64
jng_controlwardsbought_team2,float64
mid_controlwardsbought_team2,float64
sup_controlwardsbought_team2,float64
top_controlwardsbought_team2,float64
bot_csat10_team2,float64
jng_csat10_team2,float64
mid_csat10_team2,float64
sup_csat10_team2,float64
top_csat10_team2,float64
bot_csat15_team2,float64
jng_csat15_team2,float64
mid_csat15_team2,float64
sup_csat15_team2,float64
top_csat15_team2,float64
bot_csdiffat10_team2,float64
jng_csdiffat10_team2,float64
mid_csdiffat10_team2,float64
sup_csdiffat10_team2,float64
top_csdiffat10_team2,float64
